usrnm,gml,passw,amount,name,gender,aadhar
abcd,abcd@gmail.com,1234.0,0.0,m,1234567899.0,
abcde,abcd@gmail.com,12345.0,0.0,f,2345675432.0,
Dipanshu,dipanshunamdev799@gmail.com,1234.0,20010002395.0,Dipanshu Namdev,m,
Insaan,abcdefgh@gmail.com,insaan,100000000077166.0,INSAAN,m,123456789123.0
abcd2,,abcd2,10121.0,abcd2,m,123456789123.0
abcdefg,abcd@gmail.com,abcdefg,17000.0,abcdefg,m,123456789012.0
test,test@gmail.com,test,0.0,testy test,m,123456789012.0
dhruv,sdag,patidar,801.0,dhruv patidar,m,123456789123.0
dhruv123,dhruvpatidar352356@gmail.com,patidar41,0.0,darsdgjkhkfadjsg,m,123456789123.0
sdaghar,dhur@35sag.com,,0.0,dfg,m,123456789123.0
